Project Name,Address,Lat,Lon,Category
Fairfield - Fairfax Gateway,"11101 Fairfax Blvd Fairfax, VA 22030",38.85469106,-77.3291347,Both
Whiting-Turner - U.S. Pharmacopeia,"12601 Twinbrook Pkwy Rockville, MD 20852",39.06311712,-77.11582876,Final
Aventon - Crown Apartments,"Fields Rd, Gaithersburg, MD 20878",39.11360639,-77.20029257,Both
DPR - BWI PH3 and Trailers,"7565 Harmans Rd Harmans, MD 21077",39.15073412,-76.69969106,Final
Kinsley- Hickory Ridge,"10799 Hickory Ridge Rd. Columbia, MD 21044",39.21042101,-76.88384703,Final
CCG - 2001 Aliceanna St,"2011 Aliceanna Dr. Baltimore, MD 21231",39.28343019,-76.5881825,Mold
John Moriarty - Storey Park,"1005 First St NE Washington D.C., 20002",38.90361666,-77.00565673,Final
Harkins - Woodmore Grand,"10490 Little Patuxent Pkwy Columbia, MD 21044",39.21267836,-76.86378028,Both
Clark Construction - Waterfront Station 2,1000 4th St SW Washington D.C. 20024,38.87861983,-77.01691722,Final
Clark Construction Project Speedway Trailer,"5901 Richmond-Henrico Pike Richmond, VA 23227",37.60312598,-77.41651382,Final
DPR - Nature Conservancy,"4245 North Fairfax Dr Arlington, VA 22203",38.88275315,-77.11229074,Final
Fairfield - Kings Crossing,"6375 Richmond Highway Alexandria, VA 22306",38.77916769,-77.0792542,Both
Balfour Beatty/Walsh Construction - Hoffman Town Center,"2410 Mill Road Alexandria, VA 22314",38.80329851,-77.07054636,Final
Clark Construction UMCRMC ASI # 124,801-A Capital Centre Blvd Largo MD,38.90207211,-76.84728007,Final
Forrester Construction - Immanuel Christian School,"5252 Cherokee Ave Alexandria, VA 22312",38.80772633,-77.15984646,Both
NRP Group The Highland District,"Old Meadow Road McClean, VA 22102",38.9197526,-77.2123854,Final
Clark Construction 1900 Crystal Drive,"1900 Crystal Drive Arlington, VA ",38.85660082,-77.04943081,Final
Clark Construction - MedStar Georgetown,"3800 Reservoir Road NW Washington D.C., 20007",38.91151726,-77.0752836,Final
Sordoni - Largo Town Center,"450 Sky Bridge Drive Largo, MD 20774",38.89693458,-76.83616458,Final
NRP - Largo Station,"100 Capital Court Upper Marlboro, MD 20774",38.89212474,-76.84129273,Final
Bozzuto - Suitland Senior Residences,"2901 Toles Park Drive Suitland, MD 20746",38.85055827,-76.92548897,Both
CBG - 51 Washington,"51 Washington Street Conshocken, PA 19428",40.07195499,-75.3086704,Mold
Clark Construction - National Air and Space Museum,"600 Independence Ave SW Washington D.C., 20560",38.88733635,-77.02084584,Final
CBG - Passport NOVA,13455 Sunrise Valley Drive Herndon VA 20171,38.95699931,-77.41281056,Mold
